EID	Country	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099
1	Afghanistan																																																																																	7907057828	8897638090	9477918835	11341850925	11467871491	11347712347	11652506273	18589498816	32712594321	32325740491	31956470926	14032243470	9474988124	9132094957	9178986330	7772245130	7751730154	7423490541	7212479361	7279885710	6986814627	4560186057	5342685849	4774127947	4724305863	5213734572	5128743958	5081852585	5210803862			5325101584																																																																																								
2	Albania																																																																																	45352750145	45311720194	45179838206	46533826611	47102384513	47143414464	46214379130	46100081408	47380802042	44048583824	31642884867	27205788666	24433336217	17273609651	20280518966	22352531526	24872942842	22651464031	24477296880	27742108748	28190507506	26845311233	27888644290	33553708330	34145711919	35438155396	34734784796	30242005089	32645187972			35517284589																																																																																								
3	Algeria																																																																																	2.35E+11	1.99E+11	2.81E+11	3.15E+11	3.39E+11	3.07E+11	3.11E+11	3.33E+11	3.54E+11	3.43E+11	3.57E+11	3.97E+11	3.81E+11	3.18E+11	3.63E+11	3.82E+11	3.71E+11	3.52E+11	3.67E+11	3.67E+11	3.63E+11	3.68E+11	3.74E+11	3.79E+11	3.70E+11	4.34E+11	4.52E+11	4.75E+11	5.01E+11			4.20E+11																																																																																								
4	American Samoa																																																																																	1737911524	2028051897	2819343822	1767218632	2036844029	1910823463	1972368391	2010467632	1981160523	2274231607	2365083642	2365083642	2423697859	2335776534	2353360799	2315261558	2347499377	2353360799	2353360799	2353360799	2297677293	2303538715	2341637956	2341637956	2329915112	2479381365	2523342027	2702115388	2737283918			2479381365																																																																																								
5	Andorra																																																																																																																519475954.3																																																																																								
6	Angola																																																																																	17045014206	17012776387	18111792950	19539049126	17560819313	21414704059	21663814480	22074113996	22941604403	22393561477	23395864582	24275077832	25066369757	23706519931	24134403712	25673026900	24723476590	27331809231	24887596396	27604365339	26651884318	34963380241	37340186727	39637864020	42386870782	43450718815	48810988929	56556857661	58450096859			45077263327																																																																																								
7	Anguilla																																																																																																																42600000																																																																																								
8	Antigua and Barbuda																																																																																	1752565078	1556207452	2083735402	1216244996	1377434092	1351057694	1353988405	1652920910	1699812283	1705673705	1781872187	1758426500	1752565078	1723257970	1937199861	1989952656	1984091234	2066151137	2066151137	2066151137	2124765354	2130626776	2145280330	2274231607	2450074257	2664016147	2716768942	2611263352	2728491786			2664016147																																																																																								
9	Argentina																																																																																	4.81E+11	4.68E+11	4.90E+11	4.96E+11	5.38E+11	5.11E+11	5.56E+11	5.72E+11	5.74E+11	5.69E+11	5.49E+11	5.78E+11	6.00E+11	5.77E+11	6.57E+11	6.77E+11	7.02E+11	7.22E+11	7.55E+11	7.63E+11	7.82E+11	7.66E+11	7.27E+11	7.82E+11	8.15E+11	8.66E+11	9.15E+11	9.56E+11	9.65E+11			8.65E+11																																																																																								
10	Armenia																																																																																													58567325293	42653565468	39338931515	39327208672	49728301419	42677011155	44743162292	45613583409	47615258909	48239500316	48043142690	51407598727	52937429782	59077268978	59724956072	64803877946	63244739783			59077268978																																																																																								
11	Aruba																																																																																							427883781.7	427883781.7	1629475223	2189240992	2306469426	2514549895	2699184677	2608332642	3047939267	3519783711	2315261558	3704418493	3742517734	3742517734	3953528914	3965251757	3965251757	4226085022	4255392130	4357967009	4680345201	4281768527	4384343407			4357967009																																																																																								
12	Australia																																																																																	8.04E+11	8.28E+11	8.48E+11	8.67E+11	9.48E+11	9.57E+11	9.52E+11	1.01E+12	1.00E+12	1.06E+12	1.09E+12	1.09E+12	1.12E+12	1.15E+12	1.15E+12	1.18E+12	1.24E+12	1.33E+12	1.34E+12	1.41E+12	1.42E+12	1.47E+12	1.49E+12	1.50E+12	1.55E+12	1.59E+12	1.60E+12	1.63E+12	1.69E+12			1.62E+12																																																																																								
13	Austria																																																																																	3.21E+11	3.18E+11	3.03E+11	3.05E+11	3.12E+11	3.19E+11	3.18E+11	3.03E+11	3.27E+11	3.31E+11	3.41E+11	3.58E+11	3.52E+11	3.63E+11	3.61E+11	3.77E+11	3.92E+11	3.96E+11	4.04E+11	4.05E+11	4.08E+11	4.25E+11	4.28E+11	4.33E+11	4.44E+11	4.57E+11	4.49E+11	4.45E+11	4.45E+11			4.54E+11																																																																																								
14	Azerbaijan																																																																																													2.91E+11	2.24E+11	2.23E+11	2.14E+11	1.89E+11	1.87E+11	1.60E+11	1.65E+11	1.52E+11	1.53E+11	1.73E+11	1.76E+11	1.86E+11	1.93E+11	2.04E+11	1.73E+11	1.99E+11			2.02E+11																																																																																								
15	Bahamas																																																																																	17554957891	18539676731	15855145608	11913339537	10752778047	9732890677	9598077979	10615034638	9905802617	11274444576	12062805790	10697094542	8970905861	8689557621	10623826771	12467243885	14002936362	13923807169	15708610066	14167056168	13917945747	13657112483	13745033808	16587823316	16763665966	19284077283	19316315102	18387279768	20022616413			19284077283																																																																																								
16	Bahrain																																																																																	40303135380	46267131925	49218357734	52143207146	50282205767	60056126396	64704233778	77728312721	67107416661	68692931222	75128772212	84149500157	70565655444	81072253782	83050483594	83123751365	83346485388	98228635000	1.03E+11	1.04E+11	1.07E+11	1.11E+11	1.17E+11	1.19E+11	1.23E+11	1.34E+11	1.46E+11	1.54E+11	1.61E+11			1.34E+11																																																																																								
17	Bangladesh																																																																																	37504306534	40830663330	44033930270	41024090245	48945801627	50786288030	55100294377	60733120598	67251021492	73780645228	74270073937	75395466897	83959003952	87560847567	99503494212	1.12E+11	1.14E+11	1.18E+11	1.23E+11	1.36E+11	1.48E+11	1.62E+11	1.71E+11	1.86E+11	1.97E+11	2.08E+11	2.26E+11	2.35E+11	2.56E+11			2.03E+11																																																																																								
18	Barbados																																																																																	4237807865	4483987575	4475195442	4727236574	4557255346	5026169079	5351477982	5073060452	4821019321	5196150307	5392507933	5442330017	5500944234	5207873151	5275279500	5404230777	4806365767	5958135124	6148631328	6301028292	6969230362	6720119941	6720119941	6843209796	4686206622	6330335400	6037264317	5480429258	5914174462			6330335400																																																																																								
