country	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099
Afghanistan																																																																																																										1.3																																																																																														
Albania																																																																																																11.1						23.8	24.5	25.2	23.6	23	24.6	28.8	27.6	27.7																																																																																										
Algeria																																																																																																										25																																																																																														
American Samoa																																																																																																																																																																																																								
Andorra																																																																																																										51.4																																																																																														
Angola																																																																																																										2.1																																																																																														
Anguilla																																																																																																																																																																																																								
Antigua and Barbuda																																																																																																										20.5																																																																																														
Argentina																																																																																																										41.4																																																																																														
Armenia																																																																																																										3.8																																																																																														
Aruba																																																																																																																																																																																																								
Australia																																																																																																										108.5																																																																																														
Austria																																																																																																39.3						44.7	43.6	43.7	44.4	40.3	3.4	3.4	46.9	47.5																																																																																										
Azerbaijan																																																																																																14.8						13.3	13	13.1	13.5	9	16.4	17.9	16.1																																																																																											
Bahamas																																																																																																										45																																																																																														
Bahrain																																																																																																										59.7																																																																																														
Bangladesh																																																																																																										0.6																																																																																														
Barbados																																																																																																										34.2																																																																																														
Belarus																																																																																																1.5										30.1																																																																																														
Belgium																																																																																																46						58	58.3	59.6	61.5	54	65.1	66.5	68	68.6																																																																																										
Belize																																																																																																										49																																																																																														
Benin																																																																																																										1.4																																																																																														
Bermuda																																																																																																																																																																																																								
Bhutan																																																																																																										3																																																																																														
Bolivia																																																																																																										17.7																																																																																														
Bosnia-Herzegovina																																																																																																										12.3			24.9																																																																																											
Botswana																																																																																																										39.7																																																																																														
Brazil																																																																																																										20.5																																																																																														
British Virgin Islands																																																																																																																																																																																																								
Brunei Darussalam																																																																																																										51.8																																																																																														
Bulgaria																																																																																																31.5						39.6	41.1	43.2	45.5	39	32.3	37.2	42.6																																																																																											
Burkina Faso																																																																																																										1.8																																																																																														
Burundi																																																																																																										5																																																																																														
Cambodia																																																																																																										68																																																																																														
Cameroon																																																																																																										4.7																																																																																														
Canada																																																																																																						28.8	28.6	28.8	29.8	23	2.3	22.1	32																																																																																											
Cape Verde																																																																																																										2.1																																																																																														
Cayman Islands																																																																																																																																																																																																								
Central African Republic																																																																																																										5																																																																																														
Chad																																																																																																										2.2																																																																																														
Chile																																																																																																										45.9																																																																																														
China																																																																																																										5.7																																																																																														
Colombia																																																																																																										7.6																																																																																														
Comoros																																																																																																										9.7																																																																																														
Congo, Democratic Republic																																																																																																										5																																																																																														
Congo																																																																																																										6.1																																																																																														
Cook Islands																																																																																																										28																																																																																														
Costa Rica																																																																																																										41.8																																																																																														
Ivory Coast																																																																																																										11.4																																																																																														
Croatia																																																																																																16.6						30	31.9	34.1	35.6	30.8	38.3	38.3	39.4																																																																																											
Cuba																																																																																																										16.3																																																																																														
Cyprus																																																																																																159.6						172.4	17.4	17.7	163.6	168	154	154.5	157.8																																																																																											
Czech Republic																																																																																																23.2						33.2	36.3	37.9	4.7	30.1	49.8	55.7	6.2																																																																																											
Denmark																																																																																																11.6						11.7	11.6	11.5	11.4	65	12	11.9	11.6																																																																																											
Djibouti																																																																																																										3.3																																																																																														
Commonwealth of Dominica																																																																																																										20.5																																																																																														
