PID	Country	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099
1	Afghanistan																																																			8151	8277	8407	8543	8684	8832	8986	9147	9315	9489	9671	9860	10056	10261	10475	10698	10928	11164	11411	11677	11965	12273	12594	12915	13224	13506	13767	14003	14180	14249	14186	13984	13673	13300	12932	12625	12372	12183	12157	12415	13032	14070	15472	17053	18554	19790	20685	21299	21752	22228	22856	23677	24640	25679	26693	27615	28421	29146	29840	30578	31412																																																																																									
2	Albania																																																			1215	1240	1269	1303	1339	1379	1421	1466	1513	1561	1611	1661	1713	1765	1817	1870	1923	1976	2029	2082	2136	2189	2242	2295	2348	2401	2454	2508	2562	2617	2671	2725	2778	2832	2891	2957	3033	3116	3195	3256	3289	3292	3267	3225	3179	3141	3113	3092	3079	3073	3072	3077	3090	3107	3125	3142	3157	3170	3181	3193	3204																																																																																									
3	Algeria																																																			8753	8953	9141	9326	9516	9715	9924	10142	10365	10586	10800	11007	11210	11421	11655	11923	12230	12573	12945	13339	13746	14166	14601	15052	15524	16018	16533	17068	17625	18205	18811	19442	20096	20763	21433	22098	22754	23398	24035	24668	25299	25931	26558	27170	27751	28292	28787	29243	29674	30099	30534	30982	31442	31913	32396	32888	33392	33907	34428	34950	35468																																																																																									
4	American Samoa																																																			19	19	20	20	20	20	20	20	20	20	20	21	21	22	23	23	24	25	26	27	27	28	28	29	29	30	30	31	31	32	33	34	35	36	38	39	41	42	44	46	47	48	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68																																																																																									
5	Andorra																																																			6	7	7	8	9	9	10	11	12	12	13	14	15	16	17	19	20	21	22	23	24	26	27	28	30	31	32	33	34	36	37	39	41	44	46	47	49	50	50	51	53	55	58	61	63	65	65	65	64	64	65	66	69	72	75	78	80	81	83	84	85																																																																																									
6	Angola																																																			4148	4219	4297	4377	4459	4542	4624	4707	4790	4875	4963	5054	5147	5242	5337	5431	5524	5617	5713	5815	5926	6048	6180	6322	6475	6637	6809	6990	7185	7400	7638	7903	8192	8492	8787	9066	9323	9563	9800	10053	10335	10654	11003	11372	11743	12105	12453	12792	13138	13512	13926	14388	14890	15420	15957	16489	17010	17525	18038	18555	19082																																																																																									
7	Anguilla																																																			5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	9	9	9	10	10	10	10	10	11	11	11	12	13	13	14	14	14	15	15	15																																																																																									
8	Antigua and Barbuda																																																			46	48	50	51	52	53	53	53	54	54	55	55	56	57	59	60	61	62	63	65	66	67	67	68	69	69	70	70	71	71	70	70	69	68	67	66	65	64	63	62	62	63	64	65	67	69	70	72	74	76	78	79	81	82	83	84	85	86	87	88	89																																																																																									
9	Argentina																																																			17150	17506	17865	18224	18580	18931	19277	19618	19955	20291	20625	20961	21297	21633	21966	22297	22622	22945	23273	23617	23983	24376	24792	25222	25654	26079	26493	26899	27303	27712	28131	28562	29001	29448	29900	30354	30811	31270	31729	32187	32642	33094	33540	33982	34420	34855	35287	35715	36135	36541	36931	37302	37657	38001	38341	38681	39024	39368	39714	40062	40412																																																																																									
10	Armenia																																																			1354	1383	1420	1463	1511	1564	1619	1678	1739	1802	1867	1934	2002	2070	2138	2205	2269	2333	2395	2456	2518	2581	2643	2706	2766	2826	2883	2938	2992	3045	3096	3146	3193	3239	3288	3339	3397	3457	3510	3543	3545	3512	3450	3370	3291	3223	3172	3135	3109	3091	3076	3066	3061	3061	3063	3066	3070	3074	3079	3085	3092																																																																																									
